Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Africa,Algeria,None,2021-07-03,140427,5515,224,817,3725,41,,,140427,3725,140427,3725
Africa,Algeria,None,2021-07-04,140832,5562,226,830,3734,41,,,140427,3728,141894,3740
Africa,Algeria,None,2021-07-05,141237,5607,228,842,3742,42,,,140427,3734,142740,3750
Africa,Algeria,None,2021-07-06,141644,5650,230,854,3751,42,,,140427,3741,143484,3761
Africa,Algeria,None,2021-07-07,142050,5690,232,866,3760,42,,,140427,3748,144175,3772
Africa,Algeria,None,2021-07-08,142459,5729,234,878,3769,42,,,140427,3756,144835,3782
Africa,Algeria,None,2021-07-09,142870,5769,235,891,3777,43,,,140427,3762,145472,3792
Africa,Algeria,None,2021-07-10,143284,5808,237,903,3786,43,,,140473,3770,146095,3802
Africa,Algeria,None,2021-07-11,143700,5847,239,916,3795,43,,,140695,3778,146705,3812
Africa,Algeria,None,2021-07-12,144116,5885,241,928,3804,44,,,140929,3786,147303,3822
Africa,Algeria,None,2021-07-13,144532,5919,243,941,3813,44,,,141172,3794,147892,3832
Africa,Algeria,None,2021-07-14,144946,5949,244,953,3822,44,,,141422,3802,148470,3842
Africa,Algeria,None,2021-07-15,145361,5977,246,965,3830,44,,,141681,3809,149041,3851
Africa,Algeria,None,2021-07-16,145776,6004,247,978,3839,45,,,141945,3818,149607,3860
Africa,Algeria,None,2021-07-17,146193,6031,248,990,3848,45,,,142218,3826,150168,3870
Africa,Algeria,None,2021-07-18,146610,6057,250,1003,3857,45,,,142495,3834,150725,3880
Africa,Algeria,None,2021-07-19,147026,6080,251,1015,3866,45,,,142776,3842,151276,3890
Africa,Algeria,None,2021-07-20,147440,6100,252,1028,3875,45,,,143059,3851,151821,3899
Africa,Algeria,None,2021-07-21,147853,6117,253,1040,3884,45,,,143345,3859,152361,3909
Africa,Algeria,None,2021-07-22,148265,6132,254,1053,3893,45,,,143634,3867,152896,3919
Africa,Algeria,None,2021-07-23,148677,6146,255,1065,3902,46,,,143926,3875,153428,3929
Africa,Algeria,None,2021-07-24,149087,6158,256,1077,3911,46,,,144218,3884,153956,3938
Africa,Algeria,None,2021-07-25,149496,6167,257,1089,3920,46,,,144513,3892,154479,3948
Africa,Algeria,None,2021-07-26,149903,6173,257,1102,3929,46,,,144808,3901,154998,3957
Africa,Algeria,None,2021-07-27,150306,6177,258,1114,3938,46,,,145101,3909,155511,3967
Africa,Algeria,None,2021-07-28,150708,6178,258,1126,3946,46,,,145396,3916,156020,3976
Africa,Algeria,None,2021-07-29,151108,6177,259,1138,3955,46,,,145691,3925,156525,3985
Africa,Algeria,None,2021-07-30,151505,6174,259,1150,3964,46,,,145984,3933,157026,3995
Africa,Algeria,None,2021-07-31,151900,6169,259,1162,3973,46,,,146278,3942,157522,4004
Africa,Algeria,None,2021-08-01,152292,6161,259,1173,3982,46,,,146571,3950,158013,4014
Africa,Algeria,None,2021-08-02,152680,6149,259,1185,3991,46,,,146861,3958,158499,4024
Africa,Algeria,None,2021-08-03,153063,6134,259,1196,4000,45,,,147148,3967,158978,4033
Africa,Algeria,None,2021-08-04,153442,6116,259,1208,4008,45,,,147432,3974,159452,4042
Africa,Algeria,None,2021-08-05,153819,6096,259,1219,4017,45,,,147716,3983,159922,4051
Africa,Algeria,None,2021-08-06,154192,6075,258,1230,4026,45,,,147997,3991,160387,4061
Africa,Algeria,None,2021-08-07,154562,6052,258,1241,4035,45,,,148277,4000,160847,4070
Africa,Algeria,None,2021-08-08,154928,6027,257,1252,4043,45,,,148553,4007,161303,4079
Africa,Algeria,None,2021-08-09,155290,5999,257,1263,4052,44,,,148827,4016,161753,4088
Africa,Algeria,None,2021-08-10,155644,5966,256,1274,4061,44,,,149095,4024,162193,4098
Africa,Algeria,None,2021-08-11,155993,5929,255,1284,4069,44,,,149358,4032,162628,4106
Africa,Algeria,None,2021-08-12,156338,5891,254,1295,4078,44,,,149619,4040,163057,4116
Africa,Algeria,None,2021-08-13,156678,5851,253,1305,4086,43,,,149875,4048,163481,4124
Africa,Algeria,None,2021-08-14,157013,5808,251,1315,4095,43,,,150128,4057,163898,4133
Africa,Algeria,None,2021-08-15,157343,5763,250,1325,4103,43,,,150376,4064,164310,4142
Africa,Angola,None,2021-07-03,38870,1664,86,557,908,12,,,38870,908,38870,908
Africa,Angola,None,2021-07-04,38913,1595,83,559,910,12,,,38870,908,39604,930
Africa,Angola,None,2021-07-05,38953,1528,81,560,912,11,,,38870,908,39930,941
Africa,Angola,None,2021-07-06,38989,1462,78,561,914,11,,,38870,908,40185,949
Africa,Angola,None,2021-07-07,39023,1398,76,562,915,10,,,38870,908,40404,955
Africa,Angola,None,2021-07-08,39054,1335,73,563,917,10,,,38870,908,40598,962
Africa,Angola,None,2021-07-09,39083,1274,71,564,919,9,,,38870,908,40775,969
Africa,Angola,None,2021-07-10,39109,1215,68,565,920,9,,,38870,908,40936,974
