Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Africa,Algeria,None,2021-03-01,113255,72,2,2,2987,1,113255.0,2987.0,113255,2987,113255,2987
Africa,Algeria,None,2021-03-02,113340,149,5,5,2987,1,113430.0,2991.0,113340,2987,113340,2987
Africa,Algeria,None,2021-03-03,113406,204,6,7,2988,2,113593.0,2996.0,113406,2988,113406,2988
Africa,Algeria,None,2021-03-04,113463,247,8,8,2989,2,113761.0,3002.0,113463,2989,113463,2989
Africa,Algeria,None,2021-03-05,113516,283,9,10,2990,2,113948.0,3007.0,113516,2990,113516,2990
Africa,Algeria,None,2021-03-06,113568,316,10,12,2991,2,114104.0,3010.0,113568,2991,113568,2991
Africa,Algeria,None,2021-03-07,113620,347,11,13,2993,3,114234.0,3013.0,113620,2993,113620,2993
Africa,Algeria,None,2021-03-08,113673,377,12,15,2994,3,114382.0,3018.0,113673,2994,113673,2994
Africa,Algeria,None,2021-03-09,113729,408,13,16,2996,3,114543.0,3022.0,113729,2996,113729,2996
Africa,Algeria,None,2021-03-10,113787,439,14,18,2998,3,114681.0,3026.0,113787,2998,113787,2998
Africa,Algeria,None,2021-03-11,113847,471,16,20,3000,4,114851.0,3028.0,113847,3000,113847,3000
Africa,Algeria,None,2021-03-12,113910,503,17,22,3002,4,115008.0,3031.0,113910,3002,113910,3002
Africa,Algeria,None,2021-03-13,113976,537,18,24,3004,4,115143.0,3034.0,113976,3004,113976,3004
Africa,Algeria,None,2021-03-14,114045,570,19,26,3006,4,115265.0,3036.0,114045,3006,114045,3006
Africa,Algeria,None,2021-03-15,114117,605,21,28,3009,5,115410.0,3040.0,114117,3009,114117,3009
Africa,Algeria,None,2021-03-16,114191,640,22,30,3011,5,115540.0,3045.0,114191,3011,114191,3011
Africa,Algeria,None,2021-03-17,114269,676,23,33,3014,5,115688.0,3048.0,114269,3014,114269,3014
Africa,Algeria,None,2021-03-18,114349,712,24,35,3017,5,115842.0,3051.0,114349,3017,114349,3017
Africa,Algeria,None,2021-03-19,114432,749,26,37,3020,6,115970.0,3053.0,114432,3020,114432,3020
Africa,Algeria,None,2021-03-20,114518,787,27,40,3023,6,116066.0,3055.0,114518,3023,114518,3023
Africa,Algeria,None,2021-03-21,114607,824,29,43,3026,6,116157.0,3057.0,114607,3026,114607,3026
Africa,Algeria,None,2021-03-22,114699,862,30,45,3029,6,116255.0,3061.0,114699,3029,114699,3029
Africa,Algeria,None,2021-03-23,114793,901,32,48,3033,7,116349.0,3066.0,114793,3033,114793,3033
Africa,Algeria,None,2021-03-24,114890,940,33,51,3037,7,116438.0,3069.0,114890,3037,114890,3037
Africa,Algeria,None,2021-03-25,114990,979,35,54,3040,7,116543.0,3071.0,114990,3040,114990,3040
Africa,Algeria,None,2021-03-26,115093,1018,36,57,3044,8,116657.0,3074.0,115093,3044,115093,3044
Africa,Algeria,None,2021-03-27,115198,1057,38,60,3048,8,116750.0,3077.0,115198,3048,115198,3048
Africa,Algeria,None,2021-03-28,115306,1096,39,64,3052,8,116836.0,3080.0,115306,3052,115306,3052
Africa,Algeria,None,2021-03-29,115416,1136,41,67,3056,8,116946.0,3084.0,115416,3056,115416,3056
Africa,Algeria,None,2021-03-30,115530,1176,42,70,3061,9,117061.0,3089.0,115530,3061,115530,3061
Africa,Algeria,None,2021-03-31,115646,1216,44,74,3065,9,117192.0,3093.0,115646,3065,115646,3065
Africa,Algeria,None,2021-04-01,115765,1256,45,77,3069,9,117304.0,3096.0,115765,3069,115765,3069
Africa,Algeria,None,2021-04-02,115887,1296,47,81,3074,10,117429.0,3099.0,115887,3074,115887,3074
Africa,Algeria,None,2021-04-03,116011,1336,49,85,3079,10,117524.0,3102.0,116011,3079,116011,3079
Africa,Algeria,None,2021-04-04,116137,1375,50,89,3084,10,117622.0,3105.0,116137,3084,116137,3084
Africa,Algeria,None,2021-04-05,116266,1415,52,92,3088,11,117739.0,3108.0,116266,3088,116266,3088
Africa,Algeria,None,2021-04-06,116398,1455,53,96,3093,11,117879.0,3112.0,116398,3093,116398,3093
Africa,Algeria,None,2021-04-07,116533,1495,55,100,3098,11,118004.0,3116.0,116533,3098,116533,3098
Africa,Algeria,None,2021-04-08,116671,1536,57,105,3104,11,118116.0,3119.0,116671,3104,116671,3104
Africa,Algeria,None,2021-04-09,116811,1576,58,109,3109,12,118251.0,3123.0,116811,3109,116811,3109
Africa,Algeria,None,2021-04-10,116953,1616,60,113,3114,12,118378.0,3126.0,116953,3114,116953,3114
Africa,Algeria,None,2021-04-11,117098,1656,61,117,3119,12,118516.0,3130.0,117098,3119,117098,3119
Africa,Algeria,None,2021-04-12,117245,1695,63,122,3125,13,118645.0,3134.0,117245,3125,117245,3125
Africa,Algeria,None,2021-04-13,117395,1734,65,126,3130,13,118799.0,3137.0,117395,3130,117395,3130
