Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Vaccinated,Fully Vaccinated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Africa,Algeria,None,2021-04-30,122342,2815,116,960,3212,21,0.0,0.0,,,122342,3212,122342,3212
Africa,Algeria,None,2021-05-01,122599,2887,119,967,3216,21,0.0,0.0,,,122342,3212,123613,3246
Africa,Algeria,None,2021-05-02,122862,2960,121,975,3220,22,0.0,0.0,,,122342,3212,124296,3263
Africa,Algeria,None,2021-05-03,123132,3034,124,983,3224,22,0.0,0.0,,,122342,3212,124888,3277
Africa,Algeria,None,2021-05-04,123407,3110,127,992,3228,23,0.0,0.0,,,122342,3212,125434,3289
Africa,Algeria,None,2021-05-05,123689,3186,129,1000,3232,24,0.0,0.0,,,122342,3212,125956,3300
Africa,Algeria,None,2021-05-06,123977,3264,132,1009,3236,24,0.0,0.0,,,122342,3212,126460,3310
Africa,Algeria,None,2021-05-07,124270,3342,135,1017,3240,25,0.0,0.0,,,122342,3212,126952,3320
Africa,Algeria,None,2021-05-08,124568,3419,138,1026,3245,25,0.0,0.0,,,122342,3212,127435,3331
Africa,Algeria,None,2021-05-09,124868,3494,140,1035,3249,26,0.0,0.0,,,122342,3212,127909,3340
Africa,Algeria,None,2021-05-10,125172,3566,143,1044,3254,26,0.0,0.0,,,122342,3212,128378,3350
Africa,Algeria,None,2021-05-11,125477,3637,146,1054,3258,27,0.0,0.0,,,122342,3212,128839,3359
Africa,Algeria,None,2021-05-12,125786,3706,148,1063,3263,27,0.0,0.0,,,122342,3212,129298,3368
Africa,Algeria,None,2021-05-13,126097,3772,151,1072,3268,28,0.0,0.0,,,122442,3212,129752,3378
Africa,Algeria,None,2021-05-14,126408,3834,153,1082,3272,28,0.0,0.0,,,122615,3212,130201,3386
Africa,Algeria,None,2021-05-15,126719,3893,156,1091,3277,29,0.0,0.0,,,122793,3212,130645,3395
Africa,Angola,None,2021-04-30,26634,2117,83,299,572,16,17080.611231884053,0.0,,,26634,572,26634,572
Africa,Angola,None,2021-05-01,26804,2144,84,304,572,16,17406.311594202893,0.0,,,26634,572,27515,588
Africa,Angola,None,2021-05-02,26973,2168,86,309,573,16,17732.011956521736,0.0,,,26634,572,27978,596
Africa,Angola,None,2021-05-03,27141,2188,87,314,574,16,18057.712318840575,0.0,,,26634,572,28372,602
Africa,Angola,None,2021-05-04,27307,2206,88,319,575,16,18383.412681159414,0.0,,,26634,572,28728,607
Africa,Angola,None,2021-05-05,27471,2221,88,324,576,16,18709.113043478254,0.0,,,26634,572,29060,612
Africa,Angola,None,2021-05-06,27633,2233,89,329,577,17,19034.813405797096,0.0,,,26634,572,29374,617
Africa,Angola,None,2021-05-07,27793,2242,90,333,578,17,19360.513768115936,0.0,,,26634,572,29673,621
Africa,Angola,None,2021-05-08,27951,2248,91,338,579,17,19686.214130434775,0.0,,,26634,572,29961,625
Africa,Angola,None,2021-05-09,28105,2251,91,343,579,17,20011.914492753618,0.0,,,26634,572,30237,628
Africa,Angola,None,2021-05-10,28257,2251,91,347,580,17,20337.614855072457,0.0,,,26634,572,30504,631
Africa,Angola,None,2021-05-11,28406,2248,92,352,581,17,20663.315217391297,0.0,,,26634,572,30763,635
Africa,Angola,None,2021-05-12,28552,2243,92,356,582,17,20989.01557971014,0.0,,,26634,572,31014,638
Africa,Angola,None,2021-05-13,28695,2235,92,360,583,17,21314.71594202898,0.0,,,26634,572,31257,641
Africa,Angola,None,2021-05-14,28836,2225,92,365,584,16,21640.41630434782,0.0,,,26634,572,31495,645
Africa,Angola,None,2021-05-15,28972,2212,92,369,585,16,21966.11666666666,0.0,,,26634,572,31724,648
Africa,Benin,None,2021-04-30,7794,267,15,140,98,2,0.0,0.0,,,7794,98,7794,98
Africa,Benin,None,2021-05-01,7802,257,15,140,98,2,0.0,0.0,,,7794,98,8038,100
Africa,Benin,None,2021-05-02,7810,247,14,140,98,2,0.0,0.0,,,7794,98,8143,101
Africa,Benin,None,2021-05-03,7817,238,14,140,99,2,0.0,0.0,,,7794,98,8225,103
Africa,Benin,None,2021-05-04,7824,229,13,140,99,2,0.0,0.0,,,7794,98,8295,103
Africa,Benin,None,2021-05-05,7830,220,13,141,99,2,0.0,0.0,,,7794,98,8357,104
Africa,Benin,None,2021-05-06,7836,211,12,141,99,2,0.0,0.0,,,7794,98,8413,104
Africa,Benin,None,2021-05-07,7842,203,12,141,99,1,0.0,0.0,,,7794,98,8465,105
Africa,Benin,None,2021-05-08,7848,195,12,141,99,1,0.0,0.0,,,7794,98,8514,105
Africa,Benin,None,2021-05-09,7853,187,11,141,99,1,0.0,0.0,,,7794,98,8560,106
Africa,Benin,None,2021-05-10,7858,179,11,141,99,1,0.0,0.0,,,7794,98,8603,106
Africa,Benin,None,2021-05-11,7863,172,11,142,99,1,0.0,0.0,,,7794,98,8645,106
Africa,Benin,None,2021-05-12,7867,165,10,142,99,1,0.0,0.0,,,7794,98,8683,107
Africa,Benin,None,2021-05-13,7871,158,10,142,99,1,0.0,0.0,,,7794,98,8721,107
Africa,Benin,None,2021-05-14,7875,151,10,142,99,1,0.0,0.0,,,7794,98,8757,107
Africa,Benin,None,2021-05-15,7879,145,9,142,99,1,0.0,0.0,,,7794,98,8792,107
Africa,Botswana,None,2021-04-30,46250,2692,135,991,743,20,4225.467763157897,0.0,,,46250,743,46250,743
Africa,Botswana,None,2021-05-01,46316,2584,131,993,748,19,4386.784022556393,0.0,,,46250,743,47413,781
Africa,Botswana,None,2021-05-02,46377,2478,127,995,752,18,4548.100281954889,0.0,,,46250,743,47929,799
Africa,Botswana,None,2021-05-03,46433,2374,123,997,757,17,4709.416541353386,0.0,,,46250,743,48333,815
Africa,Botswana,None,2021-05-04,46483,2271,119,998,761,17,4870.732800751882,0.0,,,46250,743,48677,828
Africa,Botswana,None,2021-05-05,46529,2171,115,999,765,16,5032.049060150379,0.0,,,46250,743,48982,840
Africa,Botswana,None,2021-05-06,46572,2074,111,1001,770,15,5193.365319548875,0.0,,,46250,743,49259,852
Africa,Botswana,None,2021-05-07,46610,1979,107,1002,774,14,5354.681578947371,0.0,,,46250,743,49513,863
Africa,Botswana,None,2021-05-08,46645,1887,104,1003,777,14,5515.997838345867,0.0,,,46250,743,49748,872
Africa,Botswana,None,2021-05-09,46676,1797,100,1004,781,13,5677.314097744364,0.0,,,46250,743,49967,881
Africa,Botswana,None,2021-05-10,46704,1711,96,1005,785,12,5838.63035714286,0.0,,,46250,743,50174,891
Africa,Botswana,None,2021-05-11,46729,1627,93,1005,789,12,5999.946616541356,0.0,,,46250,743,50368,900
Africa,Botswana,None,2021-05-12,46752,1546,89,1006,792,11,6161.262875939852,0.0,,,46250,743,50553,908
Africa,Botswana,None,2021-05-13,46773,1468,86,1007,795,11,6322.579135338348,0.0,,,46250,743,50729,916
Africa,Botswana,None,2021-05-14,46792,1394,83,1007,799,10,6483.8953947368445,0.0,,,46250,743,50897,924
Africa,Botswana,None,2021-05-15,46808,1322,79,1008,802,10,6645.211654135341,0.0,,,46250,743,51057,932
Africa,Burkina Faso,None,2021-04-30,13297,246,13,227,156,2,0.0,0.0,,,13297,156,13297,156
Africa,Burkina Faso,None,2021-05-01,13309,241,13,227,156,2,0.0,0.0,,,13297,156,13454,160
Africa,Burkina Faso,None,2021-05-02,13321,237,12,228,156,2,0.0,0.0,,,13297,156,13526,161
Africa,Burkina Faso,None,2021-05-03,13332,232,12,228,156,2,0.0,0.0,,,13297,156,13583,163
