state,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered,people_vaccinated,people_fully_vaccinated,daily_vaccinations
Pennsylvania,2020-01-22,-55,0,0,,,,,,,,,
Pennsylvania,2020-01-23,-54,0,0,,,,,,,,,
Pennsylvania,2020-01-24,-53,0,0,,,,,,,,,
Pennsylvania,2020-01-25,-52,0,0,,,,,,,,,
Pennsylvania,2020-01-26,-51,0,0,,,,,,,,,
Pennsylvania,2020-01-27,-50,0,0,,,,,,,,,
Pennsylvania,2020-01-28,-49,0,0,,,,,,,,,
Pennsylvania,2020-01-29,-48,0,0,,,,,,,,,
Pennsylvania,2020-01-30,-47,0,0,,,,,,,,,
Pennsylvania,2020-01-31,-46,0,0,,,,,,,,,
Pennsylvania,2020-02-01,-45,0,0,,,,,,,,,
Pennsylvania,2020-02-02,-44,0,0,,,,,,,,,
Pennsylvania,2020-02-03,-43,0,0,,,,,,,,,
Pennsylvania,2020-02-04,-42,0,0,,,,,,,,,
Pennsylvania,2020-02-05,-41,0,0,,,,,,,,,
Pennsylvania,2020-02-06,-40,0,0,,,,,,,,,
Pennsylvania,2020-02-07,-39,0,0,,,,,,,,,
Pennsylvania,2020-02-08,-38,0,0,,,,,,,,,
Pennsylvania,2020-02-09,-37,0,0,,,,,,,,,
Pennsylvania,2020-02-10,-36,0,0,,,,,,,,,
Pennsylvania,2020-02-11,-35,0,0,,,,,,,,,
Pennsylvania,2020-02-12,-34,0,0,,,,,,,,,
Pennsylvania,2020-02-13,-33,0,0,,,,,,,,,
Pennsylvania,2020-02-14,-32,0,0,,,,,,,,,
Pennsylvania,2020-02-15,-31,0,0,,,,,,,,,
Pennsylvania,2020-02-16,-30,0,0,,,,,,,,,
Pennsylvania,2020-02-17,-29,0,0,,,,,,,,,
Pennsylvania,2020-02-18,-28,0,0,,,,,,,,,
Pennsylvania,2020-02-19,-27,0,0,,,,,,,,,
Pennsylvania,2020-02-20,-26,0,0,,,,,,,,,
Pennsylvania,2020-02-21,-25,0,0,,,,,,,,,
Pennsylvania,2020-02-22,-24,0,0,,,,,,,,,
Pennsylvania,2020-02-23,-23,0,0,,,,,,,,,
Pennsylvania,2020-02-24,-22,0,0,,,,,,,,,
Pennsylvania,2020-02-25,-21,0,0,,,,,,,,,
Pennsylvania,2020-02-26,-20,0,0,,,,,,,,,
Pennsylvania,2020-02-27,-19,0,0,,,,,,,,,
Pennsylvania,2020-02-28,-18,0,0,,,,,,,,,
Pennsylvania,2020-02-29,-17,0,0,,,,,,,,,
Pennsylvania,2020-03-01,-16,0,0,,,,,,,,,
Pennsylvania,2020-03-02,-15,0,0,,,,,,,,,
Pennsylvania,2020-03-03,-14,0,0,,,,,,,,,
Pennsylvania,2020-03-04,-13,0,0,,,,,,,,,
Pennsylvania,2020-03-05,-12,0,0,,,,,,,,,
Pennsylvania,2020-03-06,-11,2,0,,,,,,,,,
Pennsylvania,2020-03-07,-10,2,0,,,,,,,,,
Pennsylvania,2020-03-08,-9,6,0,,,,,,,,,
Pennsylvania,2020-03-09,-8,7,0,,,,,,,,,
Pennsylvania,2020-03-10,-7,12,0,,,,,,,,,
Pennsylvania,2020-03-11,-6,16,0,,,,,,,,,
Pennsylvania,2020-03-12,-5,22,0,,,,,,,,,
Pennsylvania,2020-03-13,-4,41,0,,,,,,,,,
Pennsylvania,2020-03-14,-3,47,0,,,,,,,,,
